UniqueCarrier,FlightNum,Origin,Dest,Distance,DayOfWeek,DayofMonth,Month,Year,CRSElapsedTime,ActualElapsedTime,ArrDelay,DepDelay,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
FL,925,CAK,MCO,860,3,27,7,2005,133,137,74,70,7,2,0,0,4,0,70
OH,5261,RIC,LGA,292,1,5,5,2008,80,97,17,0,5,45,0,0,17,0,0
WN,428,PBI,TPA,174,7,23,9,2007,50,45,45,50,4,9,1,0,0,0,44
UA,722,SMF,ORD,1781,7,24,9,2006,232,257,18,-7,13,21,0,0,18,0,0
NW,331,DTW,LAX,1979,3,22,11,2006,305,344,40,1,13,58,0,0,40,0,0
US,687,EWR,CLT,529,7,21,12,2008,126,123,23,26,5,16,0,0,0,0,23
OO,6083,IYK,LAX,123,7,17,4,2005,47,71,19,-5,5,33,19,0,0,0,0
DL,1949,LGA,DCA,214,5,18,5,2007,91,110,19,0,4,57,0,0,19,0,0
UA,626,ORD,DCA,612,2,12,8,2008,111,102,33,42,2,22,0,0,0,0,33
B6,1068,AUS,JFK,1522,7,30,12,2007,223,220,31,34,10,12,31,0,0,0,0
NW,1084,MSP,EWR,1008,3,2,4,2008,164,151,48,61,13,25,0,0,48,0,0
WN,2349,OAK,LAS,407,4,16,2,2006,85,101,73,57,30,5,51,0,16,0,6
US,403,PHX,SFO,651,3,16,7,2008,122,153,38,7,5,45,0,0,38,0,0
B6,528,MCO,EWR,938,6,21,7,2007,152,137,53,68,7,17,53,0,0,0,0
UA,725,ORD,DFW,802,6,1,10,2005,143,138,117,122,9,19,117,0,0,0,0
FL,986,ATL,PIT,526,3,5,11,2003,108,110,47,45,5,27,0,0,2,0,45
UA,514,ORD,CLT,599,5,19,8,2005,116,105,21,32,6,19,5,0,0,0,16
WN,405,OMA,LAS,1099,4,18,8,2005,170,187,142,125,17,8,11,0,17,0,114
OO,5890,ORD,AZO,122,1,26,2,2007,51,66,107,92,6,34,0,0,0,0,107
OO,5882,DEN,OKC,495,3,30,1,2008,92,89,15,18,4,13,0,0,0,0,15
AA,508,DFW,IND,762,1,6,6,2005,126,137,15,4,12,22,0,0,15,0,0
UA,1564,ORD,PBI,1144,6,2,8,2008,177,165,68,80,5,11,35,0,0,0,33
OO,3849,COS,DFW,592,7,30,1,2005,105,129,25,1,19,21,0,0,0,25,0
DL,669,SAT,SLC,1086,2,29,11,2005,167,192,22,-3,8,14,0,0,22,0,0
XE,2109,CLE,BUF,192,6,2,4,2005,56,91,34,-1,4,49,0,0,34,0,0
US,1919,TPA,CLT,508,5,5,10,2007,96,124,44,16,4,48,16,0,28,0,0
OO,6584,TUS,LAX,451,4,3,3,2005,92,79,37,50,5,6,0,0,0,0,37
UA,529,BOS,ORD,867,2,16,3,2004,160,192,30,-2,8,18,0,0,30,0,0
B6,917,JFK,ORD,740,7,29,7,2007,109,122,145,132,9,56,0,0,23,0,122
AA,1924,DFW,ATL,732,2,26,7,2005,131,172,37,-4,14,58,0,0,37,0,0
XE,2253,DTW,EWR,487,4,7,8,2003,104,121,15,-2,7,36,0,0,15,0,0
EV,4200,SHV,ATL,552,7,11,6,2006,107,132,25,0,39,14,0,0,25,0,0
YV,6090,PHX,LGB,355,4,9,3,2006,81,96,15,0,5,27,0,0,15,0,0
WN,1854,ALB,BWI,288,5,6,10,2006,70,69,17,18,3,7,7,0,0,0,10
XE,3092,MCI,EWR,1092,7,10,2,2008,180,163,132,149,8,7,0,0,132,0,0
FL,254,RIC,ATL,481,4,25,1,2007,106,129,17,-6,11,16,0,0,17,0,0
WN,638,MDW,PHL,668,7,16,4,2006,135,109,32,58,2,15,0,8,0,0,24
UA,231,IAD,OAK,2408,2,30,11,2004,363,368,182,177,8,19,177,0,5,0,0
AA,1362,MSP,ORD,334,3,16,1,2008,80,105,18,-7,11,37,0,0,18,0,0
MQ,4884,DTW,LGA,501,6,27,9,2008,110,177,80,13,4,90,0,0,76,0,4
WN,1184,ONT,OAK,361,7,19,8,2007,70,66,69,73,4,9,69,0,0,0,0
B6,619,JFK,JAX,829,7,3,6,2007,176,197,64,43,3,79,13,0,21,0,30
OH,5585,JFK,BUF,301,5,16,5,2008,88,99,66,55,8,37,55,0,11,0,0
9E,4765,MSP,LSE,120,4,6,12,2007,49,62,111,98,3,32,0,0,13,0,98
FL,340,ATL,PHL,665,4,14,7,2005,122,142,97,77,7,40,0,0,20,0,77
OO,6819,FAT,DEN,844,6,16,6,2007,131,142,62,51,7,10,62,0,0,0,0
MQ,4105,ORD,FWA,157,7,2,12,2007,55,45,31,41,3,13,0,31,0,0,0
OH,5220,CVG,HVN,642,4,10,2,2005,121,134,23,10,2,34,10,0,13,0,0
9E,3768,DTW,CLE,95,2,6,2,2007,55,76,93,72,8,40,72,0,21,0,0
OO,6143,LAX,SMX,135,3,4,4,2007,51,64,17,4,13,29,17,0,0,0,0
MQ,3304,SHV,DFW,190,6,7,7,2007,75,86,30,19,21,12,0,0,11,0,19
OH,5585,CVG,MDT,429,2,22,11,2005,86,74,19,31,4,10,0,19,0,0,0
UA,622,ORD,DCA,612,7,2,3,2008,106,122,104,88,5,36,19,0,16,0,69
NW,294,DTW,LAN,74,3,14,1,2004,41,72,28,-3,7,44,0,0,28,0,0
MQ,4202,LSE,ORD,215,1,15,1,2007,64,77,29,16,21,18,0,0,13,0,16
US,471,SFO,LAS,414,1,23,7,2007,89,108,36,17,6,27,11,0,19,0,6
NW,1672,MSP,LSE,120,5,3,11,2006,44,49,28,23,5,18,23,0,5,0,0
UA,152,SFO,ORD,1846,4,27,12,2007,242,240,47,49,4,22,32,0,0,0,15
MQ,4644,RDU,EWR,416,2,8,8,2006,88,91,19,16,8,15,16,0,3,0,0
MQ,4050,FNT,ORD,223,5,19,5,2006,67,56,35,46,3,8,0,0,0,0,35
OH,5523,SRQ,CVG,812,7,11,4,2004,143,152,17,8,1,9,8,0,9,0,0
EV,4856,ATL,MLI,633,6,15,9,2007,125,112,38,51,3,17,38,0,0,0,0
MQ,4306,CVG,ORD,264,5,29,10,2004,81,83,38,36,8,13,0,0,2,0,36
WN,324,LAX,PHX,370,5,20,7,2007,80,78,53,55,6,13,53,0,0,0,0
EV,4136,ATL,TRI,227,7,28,9,2003,72,70,147,149,3,20,147,0,0,0,0
AA,585,BOS,MIA,1258,1,14,2,2005,208,201,28,35,19,11,28,0,0,0,0
EV,4556,ATL,CRW,363,7,11,1,2004,85,102,32,15,5,42,15,0,17,0,0
WN,533,ABQ,PHX,328,6,29,9,2007,75,76,30,29,5,10,29,0,1,0,0
US,22,BOS,PHL,280,7,11,9,2005,85,90,119,114,6,28,0,40,5,0,74
DL,269,ATL,DAY,432,6,30,7,2005,87,75,26,38,5,10,0,0,0,0,26
MQ,4508,BOS,EWR,200,6,20,5,2006,79,80,26,25,4,14,3,0,1,0,22
CO,548,EWR,SFO,2565,3,28,11,2007,390,429,34,-5,5,42,0,0,34,0,0
NW,228,DTW,DCA,405,5,8,4,2005,82,122,34,-6,6,46,0,0,34,0,0
DL,1149,ATL,HOU,696,7,17,6,2007,125,131,49,43,9,16,3,0,6,0,40
DL,417,ATL,LAS,1747,4,21,7,2005,249,234,15,30,7,18,0,0,0,0,15
CO,1675,IAH,GPT,376,7,12,6,2005,83,78,36,41,8,14,36,0,0,0,0
NW,673,DTW,MSP,528,2,28,8,2007,120,179,58,-1,6,23,0,0,58,0,0
OH,5220,JFK,DTW,508,4,15,12,2005,128,119,164,173,8,29,164,0,0,0,0
MQ,4500,BOS,EWR,200,2,4,10,2005,76,73,87,90,8,14,87,0,0,0,0
EV,4243,ATL,PFN,247,2,22,2,2005,80,80,18,18,5,20,18,0,0,0,0
YV,7125,IAD,MYR,372,2,19,2,2008,90,84,75,81,2,19,75,0,0,0,0
WN,503,DAL,MCI,461,4,10,4,2008,85,76,81,90,5,6,16,0,0,0,65
WN,1758,HOU,PHX,1020,3,28,12,2005,165,157,117,125,6,10,64,0,0,0,53
HA,314,LIH,HNL,102,3,3,9,2008,30,35,61,56,6,8,5,0,0,0,56
WN,117,OMA,STL,342,4,12,7,2007,65,68,93,90,4,10,0,0,3,0,90
NW,1522,MSN,DTW,312,1,14,7,2008,79,104,15,-10,41,14,0,0,15,0,0
CO,1010,IAH,EWR,1400,1,17,11,2003,204,251,217,170,4,74,0,170,47,0,0
OO,6243,SBA,SFO,262,5,8,12,2006,79,100,134,113,6,19,0,0,134,0,0
MQ,3713,DFW,JAN,408,4,23,11,2006,80,77,84,87,3,12,84,0,0,0,0
AA,606,DFW,SJU,2165,6,5,8,2006,288,279,98,107,4,15,98,0,0,0,0
UA,923,IAD,ORD,589,1,7,7,2003,116,150,39,5,6,49,0,0,39,0,0
UA,1170,LAX,SFO,337,7,30,9,2007,76,82,18,12,6,25,12,0,6,0,0
WN,195,HOU,MAF,441,4,23,12,2004,80,87,42,35,5,12,6,0,7,0,29
FL,651,ATL,GPT,352,6,7,6,2003,78,80,19,17,4,19,0,0,2,0,17
B6,301,IAD,FLL,901,4,16,6,2005,150,180,42,12,3,50,12,0,30,0,0
US,524,CLT,ILM,185,1,26,1,2004,54,60,45,39,5,22,0,0,6,0,39
MQ,3588,DAY,DFW,861,3,26,4,2006,146,153,20,13,9,19,0,0,7,0,13
MQ,3981,ORD,ICT,588,3,18,10,2006,110,119,32,23,4,13,23,0,9,0,0
FL,139,ATL,TPA,406,5,5,1,2007,81,76,42,47,5,13,0,0,0,0,42
US,606,LAS,CLT,1916,7,25,6,2006,248,253,37,32,5,28,32,0,5,0,0
MQ,4653,RDU,JAX,408,5,19,10,2007,85,91,29,23,13,10,0,0,6,0,23
DL,1028,ATL,SAT,874,5,27,8,2004,144,151,58,51,4,32,51,0,7,0,0
OH,6362,GRR,CVG,268,5,19,12,2008,78,79,21,20,2,26,20,0,1,0,0
9E,5654,GRB,MSP,252,7,10,2,2008,74,97,19,-4,29,15,0,0,19,0,0
WN,1839,ISP,MCO,972,4,14,10,2004,165,167,230,228,5,10,17,0,2,0,211
MQ,3572,LBB,DFW,282,4,6,4,2006,63,61,34,36,9,9,0,0,0,0,34
AA,1912,DFW,SDF,733,7,21,10,2007,120,108,90,102,6,12,90,0,0,0,0
XE,2841,EWR,CAE,602,5,20,8,2004,125,132,17,10,4,39,0,0,7,0,10
NW,1170,MSP,BNA,695,7,28,9,2003,116,118,33,31,6,23,31,0,2,0,0
CO,721,ATL,IAH,689,5,24,2,2006,135,173,33,-5,11,19,0,0,33,0,0
MQ,3646,SGF,DFW,364,6,8,11,2003,81,108,20,-7,34,5,0,0,20,0,0
MQ,4090,ORD,OKC,693,2,29,11,2005,127,121,92,98,4,22,0,0,0,0,92
DL,1571,DFW,SFO,1464,7,21,9,2003,222,210,74,86,4,13,74,0,0,0,0
FL,826,BWI,ATL,576,5,7,3,2008,109,129,16,-4,10,14,0,0,16,0,0
AA,306,DFW,BOS,1562,2,1,5,2007,220,240,17,-3,7,27,0,0,17,0,0
NW,823,MCO,IND,828,4,8,2,2007,150,165,18,3,16,21,0,0,18,0,0
DH,7328,GSP,IAD,383,5,6,2,2004,92,68,64,88,4,10,0,0,0,0,64
MQ,3905,CMI,ORD,135,6,22,12,2007,54,57,41,38,5,8,0,0,8,0,33
AS,473,SEA,GEG,224,5,12,1,2007,57,59,46,44,6,16,44,0,2,0,0
WN,2505,MAF,LAS,796,4,21,10,2004,135,136,36,35,5,10,2,0,1,0,33
US,1074,SJU,PHL,1576,2,7,9,2004,233,221,39,51,10,10,33,0,0,0,6
DL,1458,ATL,TUS,1541,4,1,3,2007,248,303,176,121,5,60,25,48,55,0,48
WN,816,MSY,FLL,673,4,25,9,2003,115,147,32,0,3,10,0,0,32,0,0
OO,5792,RDM,SFO,462,6,25,11,2006,126,122,40,44,4,10,0,0,0,0,40
XE,3061,EWR,ORF,284,1,8,1,2007,90,112,39,17,3,49,17,0,22,0,0
FL,831,ATL,MSP,906,3,15,8,2007,159,165,28,22,5,11,0,0,6,0,22
MQ,4254,DBQ,ORD,147,4,31,1,2008,55,53,95,97,8,6,0,0,0,0,95
US,832,DCA,PVD,357,3,31,3,2004,73,66,19,26,4,11,0,0,0,0,19
NW,688,MSP,PHL,980,4,21,6,2007,150,161,16,5,11,25,0,0,16,0,0
AS,463,GEG,SEA,224,2,3,1,2006,64,72,50,42,9,10,13,0,8,0,29
WN,2090,MCO,JAN,587,7,20,1,2008,115,100,18,33,3,8,0,0,0,0,18
US,1909,CLT,ATL,227,1,22,10,2007,75,74,79,80,11,15,0,0,79,0,0
OH,5012,CVG,GSO,330,2,11,7,2006,77,73,18,22,5,14,0,0,0,0,18
XE,2794,EWR,MEM,946,2,18,4,2006,178,209,26,-5,5,60,0,0,26,0,0
EV,5706,ATL,DAB,366,3,8,10,2008,75,82,124,117,3,27,0,0,7,0,117
DL,1983,SJU,MCO,1189,2,6,7,2004,173,201,31,3,9,25,0,0,31,0,0
MQ,3792,TUL,DFW,237,7,29,1,2006,67,85,18,0,26,16,0,0,18,0,0
NW,663,EWR,DTW,487,7,24,4,2005,110,99,35,46,10,10,14,0,0,0,21
EV,4187,ATL,CSG,83,5,11,7,2003,40,43,38,35,3,18,0,0,38,0,0
YV,7044,COS,DEN,72,4,28,12,2006,44,63,53,34,10,32,53,0,0,0,0
NW,1191,DTW,LAS,1750,7,8,6,2008,254,274,27,7,11,21,7,0,20,0,0
HA,4,HNL,LAX,2556,4,25,8,2005,305,305,27,27,7,17,0,0,0,0,27
FL,760,BOS,PHL,280,1,23,1,2006,90,105,158,143,2,32,0,0,15,0,143
WN,2093,SJC,LAS,386,6,4,2,2006,75,68,20,27,3,7,0,0,0,0,20
WN,2968,STL,CLE,487,1,9,6,2008,90,82,39,47,4,6,39,0,0,0,0
WN,2230,HOU,SAT,192,7,19,12,2004,50,33,20,37,5,3,5,0,0,0,15
AA,554,SFO,ORD,1846,3,11,5,2005,243,259,189,173,6,11,1,0,16,0,172
EV,4398,VPS,ATL,264,1,7,8,2006,62,74,92,80,18,10,80,0,12,0,0
AS,69,KTN,JNU,234,1,26,2,2007,58,61,17,14,4,18,0,0,3,0,14
US,186,CLT,PHL,448,4,10,8,2006,95,110,97,82,4,39,10,20,15,0,52
AA,1031,ORD,ELP,1236,2,3,4,2007,200,186,128,142,3,12,46,0,0,0,82
OO,3667,SLC,GJT,217,2,29,11,2005,63,63,112,112,3,18,112,0,0,0,0
OO,5532,SAN,LAX,109,6,22,9,2007,48,66,18,0,5,33,18,0,0,0,0
AS,338,SEA,OAK,671,6,5,1,2008,127,116,29,40,3,13,29,0,0,0,0
OO,6256,SFO,SBP,191,5,27,4,2007,70,76,50,44,4,25,50,0,0,0,0
FL,33,ATL,SJU,1547,7,8,6,2008,210,227,42,25,5,24,25,0,17,0,0
XE,2756,EWR,BHM,850,4,21,2,2008,185,236,47,-4,5,69,0,0,47,0,0
DL,472,ATL,PHL,665,2,15,2,2005,111,121,75,65,7,32,65,0,10,0,0
YV,7189,IAD,CLT,321,3,19,7,2006,84,140,150,94,13,45,0,150,0,0,0
HP,564,LAS,MCO,2039,4,5,2,2004,242,261,16,-3,7,12,0,0,16,0,0
EV,4135,ATL,VPS,264,3,1,9,2004,79,85,18,12,10,15,12,0,6,0,0
B6,19,JFK,FLL,1069,5,18,11,2005,180,202,27,5,4,37,5,0,22,0,0
DL,1182,SNA,ATL,1919,1,17,5,2004,252,266,15,1,9,14,0,0,15,0,0
WN,1438,OAK,LAX,337,3,18,5,2005,70,68,58,60,3,10,0,0,0,0,58
CO,1566,IAH,SFO,1635,2,15,7,2008,240,237,34,37,5,20,0,0,14,0,20
AA,1337,IAD,DFW,1172,7,13,8,2006,184,186,53,51,26,14,0,0,2,0,51
XE,3308,CVG,EWR,569,3,16,2,2005,119,120,86,85,10,18,0,0,86,0,0
WN,2000,SLC,STL,1156,2,4,1,2005,165,165,65,65,5,15,13,0,0,0,52
DL,1283,RDU,ATL,356,3,12,11,2008,88,107,19,0,10,27,0,0,19,0,0
DL,840,JAX,ATL,270,5,20,8,2004,73,73,26,26,14,14,0,0,13,0,13
UA,88,SFO,PHL,2521,3,12,10,2005,329,357,195,167,8,46,0,0,195,0,0
MQ,5005,LGA,BOS,185,4,18,3,2004,75,84,31,22,9,39,0,0,9,0,22
WN,2707,OAK,BUR,325,4,1,5,2008,65,63,102,104,7,8,102,0,0,0,0
DH,7322,CLT,IAD,321,7,15,2,2004,75,76,17,16,6,18,0,0,1,0,16
CO,47,IAH,LAX,1379,3,2,6,2004,216,244,37,9,10,60,9,0,28,0,0
WN,2105,BUR,OAK,325,7,9,1,2005,70,68,23,25,5,10,0,0,0,0,23
UA,741,BIL,DEN,455,5,6,4,2007,84,96,28,16,13,12,16,0,12,0,0
AA,1051,DFW,COS,592,4,16,9,2004,116,115,19,20,5,24,19,0,0,0,0
WN,1406,HOU,HRL,276,1,28,7,2003,55,51,20,24,3,8,0,0,0,0,20
XE,2734,STL,IAH,668,4,12,6,2008,124,128,39,35,12,13,35,0,4,0,0
AA,1509,AUS,ORD,978,5,3,2,2006,162,154,31,39,10,13,0,0,31,0,0
WN,33,LIT,DAL,296,5,2,2,2007,65,67,15,13,3,6,4,0,2,0,9
OH,5033,CVG,CRW,173,2,14,12,2004,50,77,25,-2,3,44,0,0,25,0,0
DL,655,ATL,SMF,2092,3,27,7,2005,288,305,24,7,6,34,7,0,17,0,0
XE,2602,EWR,BWI,169,4,15,6,2006,79,72,53,60,5,31,0,0,53,0,0
DL,628,ATL,CVG,373,4,15,1,2004,87,101,17,3,6,31,0,0,17,0,0
EV,4128,AGS,ATL,143,7,9,7,2006,71,58,20,33,5,8,0,0,0,0,20
WN,252,RNO,PDX,444,5,19,5,2006,80,72,22,30,5,7,0,0,0,0,22
HA,33,SAN,HNL,2614,2,9,11,2004,355,366,22,11,11,19,22,0,0,0,0
AA,447,ORD,BNA,409,7,5,8,2007,90,75,164,179,5,12,0,0,3,0,161
OO,5911,CLE,ORD,316,4,10,4,2008,83,79,155,159,6,6,123,0,0,0,32
NW,1295,MDW,MSP,349,5,17,2,2006,94,90,21,25,6,12,0,0,0,0,21
US,1278,ATL,PHL,665,3,24,11,2004,128,222,120,26,7,53,0,0,94,0,26
NW,1426,RST,MSP,76,5,19,1,2007,44,64,17,-3,12,26,0,0,17,0,0
XE,2381,CVG,IAH,871,4,5,6,2003,156,177,21,0,5,20,0,0,21,0,0
WN,33,DAL,HOU,239,5,7,3,2008,60,67,25,18,3,19,10,0,7,0,8
AS,725,PHX,SEA,1107,6,30,4,2005,187,187,22,22,6,16,22,0,0,0,0
UA,907,ORD,SFO,1846,4,27,7,2006,267,444,210,33,4,230,33,0,177,0,0
US,2132,LGA,BOS,185,5,13,4,2007,69,84,24,9,4,38,0,0,15,0,9
YV,2642,CLT,SYR,603,4,1,3,2007,113,111,130,132,4,25,130,0,0,0,0
WN,2458,TPA,FLL,197,2,8,6,2004,50,50,55,55,5,10,0,0,0,0,55
CO,632,IAH,LGA,1416,6,3,12,2005,218,199,35,54,5,23,0,35,0,0,0
WN,2995,BWI,TPA,842,1,29,12,2008,150,141,18,27,4,8,0,0,8,0,10
OH,5501,JFK,PIT,340,5,10,8,2007,122,147,55,30,8,70,0,30,25,0,0
UA,333,DEN,PDX,992,7,23,10,2005,147,154,20,13,4,16,0,0,7,0,13
EV,4624,ATL,BQK,238,7,24,6,2007,63,70,88,81,5,24,81,0,7,0,0
US,191,BOS,PIT,496,4,4,9,2003,102,105,97,94,6,16,2,0,3,0,92
DL,1083,ATL,PVD,903,4,2,9,2004,147,157,58,48,7,36,0,0,17,0,41
FL,705,DAY,ATL,432,2,16,5,2006,90,111,21,0,10,12,0,0,21,0,0
MQ,4377,PIA,ORD,130,1,5,2,2007,49,89,41,1,34,24,0,0,41,0,0
AA,161,LAX,OGG,2486,7,9,12,2007,330,313,34,51,4,11,22,0,0,0,12
US,488,LAX,PHX,370,6,28,7,2007,83,102,16,-3,18,20,0,0,16,0,0
UA,566,SMF,ORD,1781,3,30,3,2005,236,280,39,-5,39,16,0,0,39,0,0
MQ,4299,ORD,MSN,109,5,15,7,2005,44,45,22,21,6,14,16,0,1,0,5
FL,871,MSP,MCO,1310,7,26,12,2004,187,169,52,70,8,10,0,0,0,0,52
US,1238,PBI,PHL,951,4,14,8,2003,156,182,20,-6,5,23,0,0,20,0,0
FL,499,BWI,TPA,842,6,17,2,2007,144,144,33,33,4,8,0,0,0,0,33
OO,3655,SGU,SLC,269,7,23,5,2004,74,90,25,9,5,13,0,0,25,0,0
EV,5171,LIT,ATL,453,4,11,12,2008,88,96,48,40,7,10,8,0,36,0,4
CO,1406,IAH,TPA,787,1,29,11,2004,124,141,23,6,5,37,0,0,17,0,6
DL,398,DFW,CVG,812,3,12,10,2005,137,115,63,85,4,13,0,0,0,0,63
US,134,STT,PHL,1605,5,30,4,2004,246,274,22,-6,50,7,0,0,22,0,0
B6,1087,JFK,CLT,541,5,8,12,2006,120,163,54,11,9,75,11,0,43,0,0
B6,1017,BOS,JFK,187,7,10,8,2008,74,166,334,242,9,80,0,0,334,0,0
DL,1503,GSO,ATL,306,4,11,5,2006,84,107,18,-5,8,44,0,0,18,0,0
MQ,4727,RDU,LGA,431,3,2,7,2008,95,117,16,-6,8,33,0,0,16,0,0
AA,73,ORD,HNL,4243,4,26,6,2008,540,542,36,34,3,24,34,0,2,0,0
XE,2161,EWR,ORF,284,2,21,3,2006,80,85,15,10,5,25,2,0,5,0,8
XE,3470,IAH,CVG,871,1,11,10,2004,143,139,34,38,8,16,34,0,0,0,0
NW,1837,CMH,DTW,155,4,21,10,2004,55,75,16,-4,6,14,0,0,16,0,0
US,709,PIT,TPA,873,3,11,10,2006,137,147,15,5,3,14,0,0,15,0,0
UA,1469,MSY,DEN,1062,7,20,4,2008,174,164,53,63,6,11,0,0,0,0,53
WN,2628,MDW,DTW,229,7,12,3,2006,60,56,60,64,5,11,9,0,0,0,51
WN,1031,SLC,PHX,507,3,10,9,2008,95,89,15,21,3,10,15,0,0,0,0
MQ,3946,BMI,ORD,116,5,9,7,2004,46,36,80,90,5,6,0,0,80,0,0
NW,1101,DTW,MSP,528,1,24,7,2006,116,136,34,14,7,16,0,14,20,0,0
US,1622,MDT,CLT,413,5,20,4,2007,88,104,17,1,3,25,1,0,16,0,0
OO,5785,CEC,SFO,304,5,24,8,2007,90,86,43,47,3,13,0,0,0,0,43
WN,100,DAL,TUL,237,2,24,2,2004,50,50,15,15,5,10,0,0,0,0,15
UA,580,ORD,BWI,622,4,16,2,2006,110,101,38,47,4,17,0,38,0,0,0
UA,783,ORD,SMF,1781,1,18,10,2004,262,290,43,15,4,40,0,0,29,0,14
UA,344,SFO,PDX,550,2,25,5,2004,99,111,39,27,4,22,0,0,13,0,26
US,120,CLT,LGA,544,4,12,6,2003,109,92,192,209,5,16,0,0,192,0,0
WN,897,SAT,LAS,1069,2,6,6,2006,175,153,49,71,8,5,6,0,0,0,43
DL,1677,ATL,PBI,545,4,26,6,2008,110,104,88,94,5,20,0,0,0,0,88
UA,565,IND,ORD,177,3,24,5,2006,68,155,459,372,3,107,0,0,87,0,372
OH,5153,JAX,BOS,1011,7,11,3,2007,170,185,15,0,10,37,0,0,15,0,0
OO,3661,SLC,GJT,217,7,25,1,2004,62,72,42,32,3,25,42,0,0,0,0
MQ,3363,DFW,LRD,394,7,5,12,2004,92,81,15,26,3,16,15,0,0,0,0
DL,1628,CVG,TPA,773,7,16,10,2005,123,150,23,-4,4,47,0,0,23,0,0
AA,560,ABQ,DFW,569,5,14,10,2005,98,109,71,60,11,15,60,0,11,0,0
DL,1186,EGE,ATL,1312,6,17,3,2007,186,202,124,108,9,40,108,0,16,0,0
9E,2295,MEM,SAV,545,5,19,12,2008,99,87,92,104,4,13,92,0,0,0,0
HP,460,PHX,IND,1489,5,7,10,2005,215,192,26,49,7,16,3,0,0,0,23
XE,2247,BWI,CLE,314,6,26,1,2008,70,69,23,24,5,8,0,0,1,0,22
WN,2059,BWI,JAX,663,4,19,5,2005,115,115,17,17,3,16,5,0,0,0,12
YV,7124,SBN,ORD,84,5,22,6,2007,55,50,22,27,8,6,0,0,22,0,0
AA,1915,SFO,LAX,337,5,29,6,2007,80,90,24,14,9,23,0,1,10,0,13
DH,1020,EWR,IAD,213,5,10,9,2004,76,111,57,22,6,59,0,0,34,0,23
EV,4540,BTR,ATL,449,6,16,8,2003,89,100,51,40,13,14,40,0,11,0,0
DL,1935,BOS,LGA,185,5,21,7,2006,65,62,206,209,3,21,0,0,206,0,0
MQ,4154,CMH,ORD,296,2,24,10,2006,75,98,21,-2,3,36,0,0,21,0,0
US,415,PHX,SFO,651,3,12,11,2008,122,110,59,71,5,11,59,0,0,0,0
NW,1143,DTW,GRR,120,5,15,7,2005,46,43,71,74,4,13,0,71,0,0,0
YV,7116,IAD,MDT,94,5,11,5,2007,56,60,29,25,4,30,29,0,0,0,0
EV,4630,MEI,ATL,267,4,13,3,2008,71,88,15,-2,14,17,0,0,15,0,0
UA,336,ORD,DTW,235,1,17,5,2004,68,204,135,-1,7,152,0,0,135,0,0
WN,50,DAL,MCI,461,5,11,4,2008,85,82,16,19,4,8,7,0,0,0,9
US,1067,CLT,MIA,650,5,18,1,2008,131,143,22,10,6,32,0,0,12,0,10
US,231,BOI,PHX,735,1,27,11,2006,121,133,34,22,6,22,22,0,12,0,0
OO,3879,SLC,HLN,402,1,7,2,2005,83,110,25,-2,1,51,25,0,0,0,0
DL,772,SRQ,ATL,445,6,17,7,2004,96,126,40,10,16,19,10,0,30,0,0
XE,2379,EWR,SDF,642,4,15,7,2004,134,163,25,-4,10,55,0,0,25,0,0
DL,1824,SRQ,ATL,445,6,6,8,2005,96,92,15,19,8,10,0,0,0,0,15
FL,491,BWI,FLL,925,3,26,5,2004,150,206,56,0,4,66,0,0,56,0,0
HP,130,LAS,SNA,226,5,15,4,2005,66,66,72,72,5,12,72,0,0,0,0
DH,7653,DSM,ORD,299,6,21,2,2004,70,96,20,-6,32,13,0,0,20,0,0
MQ,3552,LEX,DFW,785,1,12,5,2008,145,144,23,24,13,6,0,0,0,0,23
MQ,3913,ORD,XNA,522,1,18,2,2008,110,155,64,19,6,62,0,19,45,0,0
EV,4727,MGM,ATL,147,1,6,11,2006,53,89,34,-2,10,29,0,0,34,0,0
WN,1165,PHX,SAN,304,6,13,8,2005,70,85,15,0,2,33,0,0,15,0,0
XE,2292,EWR,GSO,446,1,20,3,2006,105,150,90,45,6,76,0,0,46,0,44
EV,4523,CAK,ATL,528,1,10,1,2005,119,97,39,61,6,14,39,0,0,0,0
WN,1627,ELP,SAN,636,7,6,7,2003,105,95,15,25,2,7,0,0,0,3,12
9E,2364,OMA,DTW,651,3,24,12,2008,136,179,55,12,53,31,12,0,43,0,0
AA,337,ORD,PDX,1739,2,7,10,2008,265,285,24,4,7,28,0,0,24,0,0
WN,524,BNA,MDW,395,4,25,5,2006,80,79,19,20,6,15,0,0,0,0,19
US,129,CLT,DEN,1337,4,24,2,2005,218,220,34,32,7,17,32,0,2,0,0
AS,179,SEA,KTN,680,4,21,6,2007,122,128,19,13,5,21,0,0,6,0,13
OH,5139,LGA,RIC,292,4,29,6,2006,86,87,39,38,7,23,0,0,39,0,0
CO,1095,IAH,LAX,1379,2,14,6,2005,211,233,28,6,10,50,6,0,22,0,0
OO,6044,SYR,ORD,607,6,15,12,2007,131,146,172,157,10,13,0,0,172,0,0
DL,1523,PHL,ATL,665,5,10,9,2004,140,166,17,-9,8,45,0,0,17,0,0
AA,276,LAX,MIA,2342,4,3,4,2008,280,296,24,8,10,23,8,0,16,0,0
NW,315,MSP,LAX,1536,7,21,12,2008,235,257,22,0,10,30,0,0,22,0,0
